Species,Long,Lat
Manatee,-81.933527,26.559665
Manatee,-81.927867,26.545185
Manatee,-81.935227,26.547735
Manatee,-81.879787,26.639275
Manatee,-81.917727,26.622205
Manatee,-81.769377,26.692145
Manatee,-81.779417,26.690715
Manatee,-81.781187,26.690035
Manatee,-81.782187,26.689725
Manatee,-81.782897,26.688435
Manatee,-81.784587,26.688375
Manatee,-81.783587,26.687325
Manatee,-81.784527,26.687465
Manatee,-81.785357,26.687725
Manatee,-81.787097,26.688065
Manatee,-81.787207,26.687065
Manatee,-81.788067,26.686865
Manatee,-81.789067,26.686755
Manatee,-81.790517,26.687185
Manatee,-81.791147,26.688865
Manatee,-81.792027,26.689235
Manatee,-81.794307,26.690345
Manatee,-81.794707,26.688805
Manatee,-81.795707,26.690065
Manatee,-81.797027,26.690265
Manatee,-81.796597,26.692805
Manatee,-80.333463,25.347106
Manatee,-80.755657,28.469185
Manatee,-80.756297,28.469865
Manatee,-81.796447,26.694745
Manatee,-81.780787,26.701645
Manatee,-81.782327,26.700365
Manatee,-81.792177,26.697225
Manatee,-81.795907,26.695965
Manatee,-81.696907,26.722905
Manatee,-81.716127,26.721695
Manatee,-81.727747,26.721325
Manatee,-81.800147,26.696995
Manatee,-81.801427,26.697595
Manatee,-81.801767,26.698715
Manatee,-81.801787,26.696385
Manatee,-81.816627,26.695105
Manatee,-81.817357,26.692485
Manatee,-82.043177,26.639605
Manatee,-82.044917,26.639995
Manatee,-82.045207,26.639645
Manatee,-82.046977,26.639375
Manatee,-82.049197,26.639495
Manatee,-82.049127,26.641605
Manatee,-82.048047,26.642735
Manatee,-82.049377,26.642675
Manatee,-82.054957,26.642275
Manatee,-82.054937,26.643345
Manatee,-82.106507,26.700665
Manatee,-82.088267,26.538495
Manatee,-81.970047,26.978205
Manatee,-82.068787,26.923785
Manatee,-82.255317,26.748105
Manatee,-82.257337,26.743705
Manatee,-82.256187,26.746355
Manatee,-82.267827,27.050755
Manatee,-82.269207,27.053675
Manatee,-82.150577,26.821805
Manatee,-81.782187,26.688889
Manatee,-82.146477,26.804475
Manatee,-82.257637,27.002825
Manatee,-82.259887,27.000885
Manatee,-82.237787,27.046065
Manatee,-82.239867,27.046275
Manatee,-82.240957,27.045995
Manatee,-82.242367,27.043715
Manatee,-82.247077,27.037065
Manatee,-82.249187,27.034915
Manatee,-82.252817,27.032415
Manatee,-82.270677,27.026645
Manatee,-82.379447,26.993205
Manatee,-82.378047,26.993095
Manatee,-80.200237,25.772435
Manatee,-80.264237,25.730295
Manatee,-80.268187,25.728545
Manatee,-80.279297,25.711715
Manatee,-80.338457,25.353685
Manatee,-80.126477,25.952075
Manatee,-80.114667,26.067045
Manatee,-80.106797,26.159575
Manatee,-80.116827,26.078035
Manatee,-80.117727,26.077665
Manatee,-80.117887,26.077755
Manatee,-80.528607,25.231086
Manatee,-80.118027,26.077565
Manatee,-80.118227,26.077475
Manatee,-80.118807,26.077375
Manatee,-80.120067,26.078895
Manatee,-80.120297,26.079795
Manatee,-80.120087,26.081245
Manatee,-80.120167,26.081795
Manatee,-80.124277,26.083275
Manatee,-80.126227,26.089695
Manatee,-80.188247,26.072295
Manatee,-80.191107,26.076955
Manatee,-80.190817,26.075465
Manatee,-80.191907,26.074725
Manatee,-80.191837,26.070995
Manatee,-80.094147,26.230115
Manatee,-80.077798,26.278675
Manatee,-80.033588,26.770885
Manatee,-80.079827,26.327295
Manatee,-80.075707,26.344875
Manatee,-80.075757,26.356615
Manatee,-80.065898,26.420565
Manatee,-80.058288,26.495715
Manatee,-80.055817,26.538655
Manatee,-80.035388,26.613545
Manatee,-80.030678,26.699785
Manatee,-80.049937,26.752335
Manatee,-80.050967,26.752735
Manatee,-80.050507,26.755255
Manatee,-81.851047,26.488235
Manatee,-81.851717,26.488615
Manatee,-81.852367,26.488795
Manatee,-81.852507,26.490485
Manatee,-81.852667,26.491085
Manatee,-82.063207,26.761215
Manatee,-82.062457,26.761625
Manatee,-81.935767,26.984855
Manatee,-82.065657,26.918765
Manatee,-82.055537,26.921995
Manatee,-82.061747,26.930175
Manatee,-82.117327,26.956445
Manatee,-82.118217,26.963685
Manatee,-82.122237,26.993075
Manatee,-82.042857,26.639675
Manatee,-82.044387,26.639825
Manatee,-82.045477,26.639595
Manatee,-82.046947,26.639345
Manatee,-82.047317,26.639345
Manatee,-82.048057,26.642635
Manatee,-82.049127,26.641605
Manatee,-82.054937,26.643415
Manatee,-82.054997,26.642135
Manatee,-82.054977,26.641715
Manatee,-82.056507,26.640765
Manatee,-82.125137,26.708905
Manatee,-82.120477,26.699015
Manatee,-82.107917,26.671665
Manatee,-82.086057,26.685095
Manatee,-82.088247,26.677015
Manatee,-82.074457,26.530585
Manatee,-82.003257,26.496485
Manatee,-82.061807,26.492295
Manatee,-81.996437,26.518325
Manatee,-82.000817,26.546765
Manatee,-81.996117,26.545715
Manatee,-81.994147,26.545715
Manatee,-82.402167,27.793525
Manatee,-82.402417,27.793385
Manatee,-82.402667,27.793245
Manatee,-82.402867,27.793135
Manatee,-82.403397,27.793155
Manatee,-82.404217,27.793185
Manatee,-82.405217,27.793185
Manatee,-82.406257,27.793155
Manatee,-82.407157,27.793155
Manatee,-82.408217,27.793155
Manatee,-82.409177,27.793155
Manatee,-82.410127,27.793155
Manatee,-82.411157,27.793155
Manatee,-82.412027,27.793575
Manatee,-82.412087,27.793155
Manatee,-82.413177,27.793135
Manatee,-82.414127,27.793135
Manatee,-82.414217,27.793495
Manatee,-82.413887,27.797945
Manatee,-82.426977,27.872115
Manatee,-82.422457,27.905435
Manatee,-82.638077,28.522195
Manatee,-82.608277,28.792915
Manatee,-82.610527,28.789995
Manatee,-82.625407,28.783195
Manatee,-81.508697,25.955335
Manatee,-81.509683,25.943902
Manatee,-81.508362,25.941918
Manatee,-81.5095,25.947805
Manatee,-81.513842,25.952225
Manatee,-81.513367,25.952159
Manatee,-81.513343,25.951786
Manatee,-81.507557,25.948764
Manatee,-81.506911,25.949277
Manatee,-81.507805,25.949532
Manatee,-81.508844,25.949193
Manatee,-81.509228,25.948604
Manatee,-81.513304,25.948583
Manatee,-81.509953,25.950477
Manatee,-81.50676,25.952446
Manatee,-81.50916,25.9528
Manatee,-81.509182,25.954208
Manatee,-81.508875,25.954917
Manatee,-81.506988,25.955265
Manatee,-81.507153,25.954982
Manatee,-81.507888,25.955233
Manatee,-81.508439,25.955482
Manatee,-81.507904,25.956879
Manatee,-81.507213,25.95701
Manatee,-81.507073,25.957389
Manatee,-81.508212,25.957314
Manatee,-81.50859,25.957011
Manatee,-81.509629,25.956672
Manatee,-81.510653,25.95588
Manatee,-81.511243,25.956702
Manatee,-81.511104,25.905777
Manatee,-82.616261,28.531271
Manatee,-82.62492,28.546715
Manatee,-80.218244,25.783795
Manatee,-80.222672,25.785564
Manatee,-80.226822,25.786318
Manatee,-80.199886,25.77097
Manatee,-80.200266,25.771587
Manatee,-80.201992,25.774543
Manatee,-80.202106,25.774665
Manatee,-80.207163,25.778671
Manatee,-80.207888,25.78198
Manatee,-80.208794,25.782796
Manatee,-80.209701,25.783716
Manatee,-82.590197,28.798655
Manatee,-82.591967,28.799485
Manatee,-82.592937,28.799585
